LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
LUX,TEACHERSALARY,PRY_TOP,USD,A,2018,131440.212149809,
MEX,TEACHERSALARY,PRY_15YREXP,USD,A,2017,31685.93266,
MEX,TEACHERSALARY,PRY_15YREXP,USD,A,2018,33076.0474893358,
MEX,TEACHERSALARY,PRY_START,USD,A,2017,19893.43526,
MEX,TEACHERSALARY,PRY_START,USD,A,2018,20851.4776702642,
MEX,TEACHERSALARY,PRY_TOP,USD,A,2017,39995.70834,
MEX,TEACHERSALARY,PRY_TOP,USD,A,2018,41692.5073274876,
NLD,TEACHERSALARY,PRY_15YREXP,USD,A,2017,58035.68812,
NLD,TEACHERSALARY,PRY_15YREXP,USD,A,2018,63412.9070130865,
NLD,TEACHERSALARY,PRY_START,USD,A,2017,38922.46898,
NLD,TEACHERSALARY,PRY_START,USD,A,2018,42133.4157556578,
NLD,TEACHERSALARY,PRY_TOP,USD,A,2017,61279.48097,
NLD,TEACHERSALARY,PRY_TOP,USD,A,2018,67147.2841574989,
NZL,TEACHERSALARY,PRY_15YREXP,USD,A,2017,46337.17926,
NZL,TEACHERSALARY,PRY_15YREXP,USD,A,2018,47311.1407211945,
NZL,TEACHERSALARY,PRY_START,USD,A,2017,30254.09216,
NZL,TEACHERSALARY,PRY_START,USD,A,2018,30890.0031084358,
NZL,TEACHERSALARY,PRY_TOP,USD,A,2017,46337.17926,
NZL,TEACHERSALARY,PRY_TOP,USD,A,2018,47311.1407211945,
NOR,TEACHERSALARY,PRY_15YREXP,USD,A,2017,47686.89522,
NOR,TEACHERSALARY,PRY_15YREXP,USD,A,2018,47386.7725063986,
NOR,TEACHERSALARY,PRY_START,USD,A,2017,39585.16876,
NOR,TEACHERSALARY,PRY_START,USD,A,2018,38558.5518750695,
NOR,TEACHERSALARY,PRY_TOP,USD,A,2017,51209.38498,
NOR,TEACHERSALARY,PRY_TOP,USD,A,2018,50882.8220631329,
POL,TEACHERSALARY,PRY_15YREXP,USD,A,2017,25552.61752,
POL,TEACHERSALARY,PRY_15YREXP,USD,A,2018,26427.7650736678,
POL,TEACHERSALARY,PRY_START,USD,A,2017,15599.81855,
POL,TEACHERSALARY,PRY_START,USD,A,2018,16139.5801104025,
POL,TEACHERSALARY,PRY_TOP,USD,A,2017,26636.23335,
POL,TEACHERSALARY,PRY_TOP,USD,A,2018,27549.157401243,
PRT,TEACHERSALARY,PRY_15YREXP,USD,A,2017,42488.86837,
PRT,TEACHERSALARY,PRY_15YREXP,USD,A,2018,43279.4526727314,
PRT,TEACHERSALARY,PRY_START,USD,A,2017,32886.58833,
PRT,TEACHERSALARY,PRY_START,USD,A,2018,33516.2769716563,
PRT,TEACHERSALARY,PRY_TOP,USD,A,2017,65416.55013,
PRT,TEACHERSALARY,PRY_TOP,USD,A,2018,72368.9948124201,
SVK,TEACHERSALARY,PRY_15YREXP,USD,A,2017,20057.28041,
SVK,TEACHERSALARY,PRY_15YREXP,USD,A,2018,21552.6663875478,
SVK,TEACHERSALARY,PRY_START,USD,A,2017,14267.09776,
SVK,TEACHERSALARY,PRY_START,USD,A,2018,15339.1849483321,
SVK,TEACHERSALARY,PRY_TOP,USD,A,2017,21625.45487,
SVK,TEACHERSALARY,PRY_TOP,USD,A,2018,23242.1998021467,
ESP,TEACHERSALARY,PRY_15YREXP,USD,A,2017,45068.86158,
ESP,TEACHERSALARY,PRY_15YREXP,USD,A,2018,47106.5735728034,
ESP,TEACHERSALARY,PRY_START,USD,A,2017,38986.72044,
ESP,TEACHERSALARY,PRY_START,USD,A,2018,40812.9390199192,
ESP,TEACHERSALARY,PRY_TOP,USD,A,2017,55384.28289,
ESP,TEACHERSALARY,PRY_TOP,USD,A,2018,57982.7213377847,
SWE,TEACHERSALARY,PRY_15YREXP,USD,A,2017,43200.76785,
SWE,TEACHERSALARY,PRY_15YREXP,USD,A,2018,45635.6841027896,
SWE,TEACHERSALARY,PRY_START,USD,A,2017,36689.34777,
SWE,TEACHERSALARY,PRY_START,USD,A,2018,39130.9633155772,
SWE,TEACHERSALARY,PRY_TOP,USD,A,2017,49586.96831,
SWE,TEACHERSALARY,PRY_TOP,USD,A,2018,52345.6820746082,
CHE,TEACHERSALARY,PRY_START,USD,A,2017,56350.80498,
CHE,TEACHERSALARY,PRY_START,USD,A,2018,58016.8860760783,
CHE,TEACHERSALARY,PRY_TOP,USD,A,2017,85752.51312,
CHE,TEACHERSALARY,PRY_TOP,USD,A,2018,88308.2577988464,
TUR,TEACHERSALARY,PRY_15YREXP,USD,A,2017,28834.83216,
TUR,TEACHERSALARY,PRY_15YREXP,USD,A,2018,28544.8225976656,
TUR,TEACHERSALARY,PRY_START,USD,A,2017,26218.82939,
TUR,TEACHERSALARY,PRY_START,USD,A,2018,25955.1321936786,
TUR,TEACHERSALARY,PRY_TOP,USD,A,2017,33287.97688,
TUR,TEACHERSALARY,PRY_TOP,USD,A,2018,32953.1840575244,
USA,TEACHERSALARY,PRY_15YREXP,USD,A,2017,61028.16,
USA,TEACHERSALARY,PRY_15YREXP,USD,A,2018,62404.043580263,
USA,TEACHERSALARY,PRY_START,USD,A,2017,39183.34,
USA,TEACHERSALARY,PRY_START,USD,A,2018,40067.0490403864,
USA,TEACHERSALARY,PRY_TOP,USD,A,2017,67197.01,
USA,TEACHERSALARY,PRY_TOP,USD,A,2018,68711.5109894952,
BRA,TEACHERSALARY,PRY_START,USD,A,2017,13971.38406,
BRA,TEACHERSALARY,PRY_START,USD,A,2018,14775.3693145019,
CHL,TEACHERSALARY,PRY_15YREXP,USD,A,2017,34231.2187,
CHL,TEACHERSALARY,PRY_15YREXP,USD,A,2018,34577.4076371378,
CHL,TEACHERSALARY,PRY_START,USD,A,2017,23428.61798,
CHL,TEACHERSALARY,PRY_START,USD,A,2018,23747.1489667623,
CHL,TEACHERSALARY,PRY_TOP,USD,A,2017,43760.34089,
CHL,TEACHERSALARY,PRY_TOP,USD,A,2018,44106.5087493518,
EST,TEACHERSALARY,PRY_START,USD,A,2017,19529.39312,
EST,TEACHERSALARY,PRY_START,USD,A,2018,22178.3069676296,
ISR,TEACHERSALARY,PRY_15YREXP,USD,A,2017,30321.48786,
ISR,TEACHERSALARY,PRY_15YREXP,USD,A,2018,31532.2438094793,
ISR,TEACHERSALARY,PRY_START,USD,A,2017,20050.68823,
ISR,TEACHERSALARY,PRY_START,USD,A,2018,21276.1511317154,
ISR,TEACHERSALARY,PRY_TOP,USD,A,2017,51495.49961,
ISR,TEACHERSALARY,PRY_TOP,USD,A,2018,53638.9575848547,
SVN,TEACHERSALARY,PRY_15YREXP,USD,A,2017,40350.89541,
SVN,TEACHERSALARY,PRY_15YREXP,USD,A,2018,42110.6724369976,
SVN,TEACHERSALARY,PRY_START,USD,A,2017,26822.66302,
SVN,TEACHERSALARY,PRY_START,USD,A,2018,28030.7973922385,
SVN,TEACHERSALARY,PRY_TOP,USD,A,2017,48166.02208,
SVN,TEACHERSALARY,PRY_TOP,USD,A,2018,50538.8540419069,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2005,100,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2006,98.4929082225724,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2007,100.414091037826,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2008,103.733743714646,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2009,102.62833165222,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2010,104.507011289728,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2011,107.211757710817,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2012,107.440465865535,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2013,111.20617862217,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2014,111.554760110215,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2015,113.728066459804,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2017,117.133840766529,
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2018,119.814681324123,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2005,100,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2006,97.7234931169397,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2007,99.7248558923781,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2008,102.613244280454,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2009,102.865775093061,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2010,104.748801290141,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2011,106.488648095317,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2012,106.847669301369,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2013,111.503044955536,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2014,111.72194195606,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2015,113.869888494784,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2017,117.404844511233,
AUS,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2018,119.53329326465,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2005,100,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2006,98.4929082225724,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2007,100.414091037826,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2008,103.733743714646,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2009,102.62833165222,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2010,104.507011289728,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2011,107.211757710817,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2012,107.440465865535,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2013,111.20617862217,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2014,109.869174752314,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2015,113.728066459804,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2017,117.133840766529,
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2018,119.814681324123,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2000,87.5162284660004,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2005,100,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2006,100.047637336505,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2007,100.795996163247,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2008,101.250519562963,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2009,103.241825957738,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2010,104.250570479003,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2011,102.913242297319,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2012,102.339056894964,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2013,101.326239664599,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2014,100.094648656782,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2015,100.108159864716,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2016,105.541800165343,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2017,105.567524716308,
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2018,105.593258160949,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2000,90.9640592870601,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2005,100,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2006,100.558646334937,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2007,101.068888269192,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2008,101.443137081889,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2009,103.474391085943,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2010,104.339066974666,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2011,102.900574381247,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2012,102.227313378544,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2013,101.251029132825,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2014,100.152318077521,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2015,100.286051048167,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2016,108.72019813325,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2017,108.747880549339,
AUT,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2018,108.879761040567,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2000,94.8842250595322,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2005,100,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2006,100.650002361458,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2007,105.023766977102,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2008,106.168256400033,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2009,108.577742471145,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2010,110.136182190181,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2011,108.755836408509,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2012,108.044580488751,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2013,107.041855178915,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2014,105.925018694936,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2015,105.795554473115,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2016,114.21110630826,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2017,113.480988361849,
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2018,113.599130001179,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2000,93.7477653840357,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2005,100,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2006,100.851927199339,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2007,100.576435052015,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2008,102.731844841881,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2009,108.941732644036,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2010,107.024672409688,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2011,104.509234588144,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2012,102.213541552254,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2013,103.96612663012,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2014,103.62088886969,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2015,106.546582988565,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2016,98.4014175292317,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2017,98.9327130765669,
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2018,104.052248499428,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2000,93.7477653840357,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2005,100,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2006,100.851927199339,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2007,100.576435052015,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2008,102.731844841881,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2009,108.941732644036,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2010,105.504968435334,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2011,103.025248740914,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2012,100.761124295528,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2013,102.488449102599,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2014,102.169868420575,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2015,104.748079474249,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2016,97.1251950754683,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2017,97.6497051939054,
DNK,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2018,102.015421818078,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2000,107.232484030754,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2005,100,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2006,102.977646084557,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2007,100.484804598451,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2008,101.46908333752,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2009,103.744238712025,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2010,103.253626958494,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2011,100.826821319989,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2012,98.8130538636034,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2013,97.608808376339,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2014,103.589895486696,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2015,105.821615785618,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2016,95.8396836224173,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2017,96.3097383218667,
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2005,A,2018,98.0793679184837,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2000,88.0000187763723,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2005,100,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2006,102.927940691676,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2007,103.424126815356,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2008,105.337621729052,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2009,105.152326022985,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2010,106.935266921481,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2011,105.742764295001,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2012,104.336601574112,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2013,103.056974644056,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2014,101.6599898262,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2015,101.128837964773,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2016,101.099452282472,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2017,100.327550824829,
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2005,A,2018,99.2494543194186,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2000,87.4344649047592,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2005,100,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2006,106.486890953901,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2007,107.000379622596,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2008,109.843749452381,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2009,109.650319576146,
FIN,TEACHERSALARY,PRY_15YREXP,IDX2005,A,2010,111.509929592887,
